sample_id,pack,variant,gt_track,gt_artist,final_rank,fused_rank,best_branch_rank,best_branch,n_branch_pools,union@20,union@50,union@100,union@200,union@1000,final@20,final@50,final@100,final@200,final@1000
ab5eac17-909e-4271-8cf9-40c06b27ee56::t2,P0_new_artist_union20_gap_failure,clap_sonic_nl_enriched,Sparks,Hilary Duff,38,106,89,bm25,3,False,False,True,True,True,False,True,True,True,True
324ddfb5-8a18-4729-9acb-c851907a297c::t3,P0_new_artist_union20_gap_failure,clap_sonic_nl_enriched,Acknowledge,Masta Ace,587,645,333,dense.clap_text.sonic_nl_enriched.audio_laion_clap,3,False,False,False,False,True,False,False,False,False,True
b466a64b-b3cc-4c62-8a70-8261434f915f::t2,P0_new_artist_union20_gap_failure,clap_sonic_nl_enriched,Two To Make It Right,Seduction,637,809,591,dense.clap_text.sonic_nl_enriched.audio_laion_clap,3,False,False,False,False,True,False,False,False,False,True
d5fcb591-3744-4ebb-9d1a-5c57c314b7d0::t5,P1_temporal_constraint_failure,clap_sonic_nl_enriched,Love Train,The O'Jays,407,460,193,bm25,3,False,False,False,True,True,False,False,False,False,True
f2d85aa5-2086-4b1e-9974-d188c43621db::t8,P1_temporal_constraint_failure,clap_sonic_nl_enriched,Leraine,Kettel,21,20,7,dense.clap_text.sonic_nl_enriched.audio_laion_clap,3,True,True,True,True,True,False,True,True,True,True
a33a5df0-2c2b-429c-84e6-cde28affd4d5::t6,P1_temporal_constraint_failure,clap_sonic_nl_enriched,Thriller,Fall Out Boy,936,,530,bm25,4,False,False,False,False,True,False,False,False,False,True
3676005d-5b7c-4c48-9b73-3e10dd509c07::t1,P1_temporal_constraint_failure,clap_sonic_nl_enriched,Breath and Life,Audiomachine,,,783,dense.clap_text.sonic_nl_enriched.audio_laion_clap,3,False,False,False,False,True,False,False,False,False,False
71bb177a-dab1-4bbc-8508-22d809b05c31::t6,P1_temporal_constraint_failure,clap_sonic_nl_enriched,Constant Craving - Remastered,k.d. lang,,,,,3,False,False,False,False,False,False,False,False,False,False
0b9d547f-e748-464a-90e2-2199149f915c::t6,P0_roleless_stale_entity_failure,clap_all,Give It To Me Baby,Rick James,294,474,169,lookup.era_popularity,5,False,False,False,True,True,False,False,False,False,True
0858f444-c9af-4f08-a9fc-2a731a24182b::t5,P0_roleless_stale_entity_failure,clap_all,Armature,Emptyset,128,128,12,dense.clap_text.sonic.audio_laion_clap,4,True,True,True,True,True,False,False,False,True,True
9b9b7c6b-b376-4d6b-8716-aa7cf0127322::t4,P0_roleless_stale_entity_failure,clap_all,The Carbon Stampede,Cattle Decapitation,545,612,290,bm25,4,False,False,False,False,True,False,False,False,False,True
